position_x,deflection_true,deflection_measured
0.2,9.523809523809524e-05,0.00016619725995398562
0.4,0.00019047619047619048,0.00017072414745173553
0.6000000000000001,0.0002857142857142858,0.00037824121972867045
0.8,0.00038095238095238096,0.000598528074724956
1.0,0.0004761904761904762,0.00044273999408714245
1.2,0.0005714285714285715,0.0005379804347215456
1.4000000000000001,0.0006666666666666668,0.0008922684974534369
1.6,0.0007619047619047619,0.0008715382946408918
1.8,0.0008571428571428571,0.0007900750877235782
2.0,0.0009523809523809524,0.00102988953003609
2.2,0.0010476190476190477,0.0009814165200744101
2.4000000000000004,0.0011428571428571432,0.001076324320918535
2.6000000000000005,0.0012380952380952382,0.0012726612768903859
2.8000000000000003,0.0013333333333333335,0.0010600075840965053
3.0000000000000004,0.0014285714285714288,0.0011821545953552813
3.2,0.0015238095238095239,0.0014434827339179564
3.4000000000000004,0.0016190476190476193,0.0014743574589998446
3.6000000000000005,0.0017142857142857144,0.0017591781903707536
3.8000000000000003,0.0018095238095238097,0.001679806084449351
4.0,0.0019047619047619048,0.0017030042331425774
4.2,0.002,0.0022093783955602223
4.4,0.0020952380952380953,0.002062984338025733
4.6000000000000005,0.002190476190476191,0.00220012307686018
4.800000000000001,0.0022857142857142863,0.002082178830540935
5.000000000000001,0.0023809523809523816,0.002303183420305927
5.2,0.002476190476190476,0.0024920365604347424
5.4,0.0025714285714285713,0.0024070009175110995
5.6000000000000005,0.002666666666666667,0.00272033781214462
5.800000000000001,0.0027619047619047623,0.0026760992347735044
6.000000000000001,0.0028571428571428576,0.002815472321458104
6.2,0.0029523809523809524,0.00286642286491961
6.4,0.0030476190476190477,0.0033122302168346104
6.6000000000000005,0.0031428571428571434,0.0031409289678945816
6.800000000000001,0.0032380952380952387,0.0030869936768158244
7.000000000000001,0.003333333333333334,0.003450839749348075
7.2,0.0034285714285714284,0.0032541651928612823
7.4,0.0035238095238095237,0.0035536471802387745
7.6000000000000005,0.0036190476190476194,0.0033390947442076516
7.800000000000001,0.0037142857142857147,0.0035245448501573674
8.0,0.0038095238095238095,0.0038376468432193985
8.2,0.0039047619047619044,0.004010257130475535
8.4,0.004,0.0040244811830271385
8.6,0.004095238095238095,0.004078716912039775
8.799999999999999,0.00419047619047619,0.004147461376820577
9.0,0.004285714285714286,0.0040744968585189395
9.2,0.004380952380952381,0.004278117494038851
9.4,0.0044761904761904765,0.004410384937481936
9.6,0.004571428571428572,0.004722446032316988
9.8,0.004666666666666667,0.004715754993747876
10.0,0.004761904761904762,0.004510041882567229
